Abuse people's confidences.,H1131
Would rather buy something I need than borrow it from someone else,M13
Would rather give than take.,H121
Would rather help myself than others.,T2826
Would rather spend money than save it.,Q116
Wouldn't harm a fly.,H142
Yell at inanimate objects.,E108
Yell at others with little provocation.,E118
Yell at people.,H809
,
*An asterisk following a W item indicates that it was converted to IPIP format and thus differs from the original item administered by du Plessis & de Bruin (2015).,
References,
,
"DeYoung, C. G., Quilty, L. C., & Peterson, J. B. (2007). Between facets and domains: 10 aspects of the Big Five. Journal of Personality and Social Psychology, 93, 880-896.",
,
"du Plessis, G. A., & de Bruin, G. P. (2015). Using Rasch modelling to examine the international personality item pool (IPIP) values in action (VIA) measure of character strengths. Journal of Psychology in Africa, 25, 512-521.",
,
"Simms, L. J., Goldberg, L. R., Roberts, J. E., Watson, D., Welte, J., & Rotterman, J. H. (2011). Computerized adaptive assessment of personality disorder: Introducing the CAT-PD project. Journal of Personality Assessment, 93, 380-389.",
,
Return Home,
